Time(s) 	 Phi(rad) 	 Angular velocity (rad/s)
0.00000000	0.01000000	0.00000000
0.00100000	0.00999999	-0.00002241
0.00200000	0.00999996	-0.00004483
0.00300000	0.00999990	-0.00006724
0.00400000	0.00999982	-0.00008965
0.00500000	0.00999972	-0.00011206
0.00600000	0.00999960	-0.00013447
0.00700000	0.00999945	-0.00015688
0.00800000	0.00999928	-0.00017929
0.00900000	0.00999909	-0.00020170
0.01000000	0.00999888	-0.00022411
0.01100000	0.00999864	-0.00024652
0.01200000	0.00999839	-0.00026893
0.01300000	0.00999811	-0.00029133
0.01400000	0.00999780	-0.00031374
0.01500000	0.00999748	-0.00033614
0.01600000	0.00999713	-0.00035855
0.01700000	0.00999676	-0.00038095
0.01800000	0.00999637	-0.00040335
0.01900000	0.00999595	-0.00042575
0.02000000	0.00999552	-0.00044814
0.02100000	0.00999506	-0.00047054
0.02200000	0.00999458	-0.00049293
0.02300000	0.00999407	-0.00051533
0.02400000	0.00999355	-0.00053772
0.02500000	0.00999300	-0.00056010
0.02600000	0.00999243	-0.00058249
0.02700000	0.00999183	-0.00060487
0.02800000	0.00999122	-0.00062726
0.02900000	0.00999058	-0.00064964
0.03000000	0.00998992	-0.00067201
0.03100000	0.00998923	-0.00069439
0.03200000	0.00998853	-0.00071676
0.03300000	0.00998780	-0.00073913
0.03400000	0.00998705	-0.00076150
0.03500000	0.00998628	-0.00078386
0.03600000	0.00998548	-0.00080622
0.03700000	0.00998466	-0.00082858
0.03800000	0.00998383	-0.00085094
0.03900000	0.00998296	-0.00087329
0.04000000	0.00998208	-0.00089564
0.04100000	0.00998117	-0.00091798
0.04200000	0.00998024	-0.00094033
0.04300000	0.00997929	-0.00096266
0.04400000	0.00997832	-0.00098500
0.04500000	0.00997732	-0.00100733
0.04600000	0.00997630	-0.00102966
0.04700000	0.00997526	-0.00105198
0.04800000	0.00997420	-0.00107431
0.04900000	0.00997311	-0.00109662
0.05000000	0.00997201	-0.00111893
0.05100000	0.00997088	-0.00114124
0.05200000	0.00996972	-0.00116355
0.05300000	0.00996855	-0.00118585
0.05400000	0.00996735	-0.00120814
0.05500000	0.00996613	-0.00123044
0.05600000	0.00996489	-0.00125272
0.05700000	0.00996363	-0.00127501
0.05800000	0.00996234	-0.00129728
0.05900000	0.00996103	-0.00131956
0.06000000	0.00995970	-0.00134183
0.06100000	0.00995835	-0.00136409
0.06200000	0.00995697	-0.00138635
0.06300000	0.00995558	-0.00140860
0.06400000	0.00995416	-0.00143085
0.06500000	0.00995271	-0.00145309
0.06600000	0.00995125	-0.00147533
0.06700000	0.00994976	-0.00149756
0.06800000	0.00994825	-0.00151979
0.06900000	0.00994672	-0.00154201
0.07000000	0.00994517	-0.00156423
0.07100000	0.00994360	-0.00158644
0.07200000	0.00994200	-0.00160864
0.07300000	0.00994038	-0.00163084
0.07400000	0.00993874	-0.00165304
0.07500000	0.00993707	-0.00167522
0.07600000	0.00993539	-0.00169740
0.07700000	0.00993368	-0.00171958
0.07800000	0.00993195	-0.00174175
0.07900000	0.00993019	-0.00176391
0.08000000	0.00992842	-0.00178606
0.08100000	0.00992662	-0.00180821
0.08200000	0.00992480	-0.00183035
