Time(s) 	 Phi(rad) 	 Angular velocity (rad/s)
0.00000000	0.01000000	0.00000000
0.00100000	0.01000001	0.00001730
0.00200000	0.01000003	0.00003461
0.00300000	0.01000008	0.00005191
0.00400000	0.01000014	0.00006921
0.00500000	0.01000022	0.00008652
0.00600000	0.01000031	0.00010382
0.00700000	0.01000042	0.00012112
0.00800000	0.01000055	0.00013843
0.00900000	0.01000070	0.00015573
0.01000000	0.01000087	0.00017303
0.01100000	0.01000105	0.00019033
0.01200000	0.01000125	0.00020764
0.01300000	0.01000146	0.00022494
0.01400000	0.01000170	0.00024224
0.01500000	0.01000195	0.00025954
0.01600000	0.01000221	0.00027684
0.01700000	0.01000250	0.00029414
0.01800000	0.01000280	0.00031144
0.01900000	0.01000312	0.00032875
0.02000000	0.01000346	0.00034605
0.02100000	0.01000382	0.00036335
0.02200000	0.01000419	0.00038065
0.02300000	0.01000458	0.00039794
0.02400000	0.01000498	0.00041524
0.02500000	0.01000541	0.00043254
0.02600000	0.01000585	0.00044984
0.02700000	0.01000631	0.00046714
0.02800000	0.01000678	0.00048444
0.02900000	0.01000728	0.00050173
0.03000000	0.01000779	0.00051903
0.03100000	0.01000831	0.00053632
0.03200000	0.01000886	0.00055362
0.03300000	0.01000942	0.00057091
0.03400000	0.01001000	0.00058821
0.03500000	0.01001060	0.00060550
0.03600000	0.01001121	0.00062280
0.03700000	0.01001184	0.00064009
0.03800000	0.01001249	0.00065738
0.03900000	0.01001316	0.00067467
0.04000000	0.01001384	0.00069196
0.04100000	0.01001454	0.00070925
0.04200000	0.01001526	0.00072654
0.04300000	0.01001599	0.00074383
0.04400000	0.01001675	0.00076112
0.04500000	0.01001752	0.00077841
0.04600000	0.01001830	0.00079569
0.04700000	0.01001911	0.00081298
0.04800000	0.01001993	0.00083026
0.04900000	0.01002077	0.00084755
0.05000000	0.01002162	0.00086483
0.05100000	0.01002250	0.00088211
0.05200000	0.01002339	0.00089940
0.05300000	0.01002430	0.00091668
0.05400000	0.01002522	0.00093396
0.05500000	0.01002617	0.00095124
0.05600000	0.01002713	0.00096852
0.05700000	0.01002810	0.00098579
0.05800000	0.01002910	0.00100307
0.05900000	0.01003011	0.00102035
0.06000000	0.01003114	0.00103762
0.06100000	0.01003218	0.00105489
0.06200000	0.01003325	0.00107217
0.06300000	0.01003433	0.00108944
0.06400000	0.01003543	0.00110671
0.06500000	0.01003654	0.00112398
0.06600000	0.01003767	0.00114125
0.06700000	0.01003882	0.00115852
0.06800000	0.01003999	0.00117578
0.06900000	0.01004118	0.00119305
0.07000000	0.01004238	0.00121031
0.07100000	0.01004360	0.00122758
0.07200000	0.01004483	0.00124484
0.07300000	0.01004609	0.00126210
0.07400000	0.01004736	0.00127936
0.07500000	0.01004864	0.00129662
0.07600000	0.01004995	0.00131388
0.07700000	0.01005127	0.00133113
0.07800000	0.01005261	0.00134839
0.07900000	0.01005397	0.00136564
0.08000000	0.01005534	0.00138289
0.08100000	0.01005673	0.00140014
0.08200000	0.01005814	0.00141739
0.08300000	0.01005957	0.00143464
0.08400000	0.01006101	0.00145189
0.08500000	0.01006247	0.00146913
0.08600000	0.01006395	0.00148638
0.08700000	0.01006545	0.00150362
0.08800000	0.01006696	0.00152086
0.08900000	0.01006849	0.00153810
0.09000000	0.01007003	0.00155534
0.09100000	0.01007160	0.00157258
0.09200000	0.01007318	0.00158982
0.09300000	0.01007478	0.00160705
0.09400000	0.01007639	0.00162428
0.09500000	0.01007803	0.00164151
0.09600000	0.01007968	0.00165874
0.09700000	0.01008134	0.00167597
0.09800000	0.01008303	0.00169320
0.09900000	0.01008473	0.00171042
0.10000000	0.01008645	0.00172765
0.10100000	0.01008819	0.00174487
0.10200000	0.01008994	0.00176209
0.10300000	0.01009171	0.00177931
0.10400000	0.01009350	0.00179653
0.10500000	0.01009530	0.00181374
0.10600000	0.01009713	0.00183095
0.10700000	0.01009896	0.00184817
0.10800000	0.01010082	0.00186538
0.10900000	0.01010270	0.00188258
0.11000000	0.01010459	0.00189979
0.11100000	0.01010650	0.00191700
0.11200000	0.01010842	0.00193420
0.11300000	0.01011036	0.00195140
0.11400000	0.01011232	0.00196860
0.11500000	0.01011430	0.00198580
0.11600000	0.01011630	0.00200299
0.11700000	0.01011831	0.00202019
0.11800000	0.01012034	0.00203738
0.11900000	0.01012238	0.00205457
0.12000000	0.01012444	0.00207176
0.12100000	0.01012653	0.00208894
0.12200000	0.01012862	0.00210613
0.12300000	0.01013074	0.00212331
0.12400000	0.01013287	0.00214049
0.12500000	0.01013502	0.00215767
0.12600000	0.01013718	0.00217485
0.12700000	0.01013937	0.00219202
