Time(s)	Phi(rad)	Angular velocity (rad/s)
0.00000000	-0.50000000	0.00000000
0.00100000	-0.49999920	0.00159970
0.00200000	-0.49999680	0.00319939
0.00300000	-0.49999280	0.00479907
0.00400000	-0.49998720	0.00639874
0.00500000	-0.49998000	0.00799839
0.00600000	-0.49997121	0.00959802
0.00700000	-0.49996081	0.01119762
0.00800000	-0.49994881	0.01279719
0.00900000	-0.49993521	0.01439671
0.01000000	-0.49992002	0.01599620
0.01100000	-0.49990322	0.01759564
0.01200000	-0.49988483	0.01919503
0.01300000	-0.49986483	0.02079436
0.01400000	-0.49984324	0.02239363
0.01500000	-0.49982004	0.02399284
0.01600000	-0.49979525	0.02559197
0.01700000	-0.49976886	0.02719103
0.01800000	-0.49974087	0.02879001
0.01900000	-0.49971128	0.03038891
0.02000000	-0.49968009	0.03198772
0.02100000	-0.49964730	0.03358643
0.02200000	-0.49961292	0.03518505
0.02300000	-0.49957693	0.03678356
0.02400000	-0.49953935	0.03838196
0.02500000	-0.49950017	0.03998025
0.02600000	-0.49945939	0.04157843
0.02700000	-0.49941701	0.04317648
0.02800000	-0.49937304	0.04477441
0.02900000	-0.49932747	0.04637220
0.03000000	-0.49928029	0.04796986
0.03100000	-0.49923153	0.04956738
0.03200000	-0.49918116	0.05116476
0.03300000	-0.49912920	0.05276198
0.03400000	-0.49907564	0.05435905
0.03500000	-0.49902048	0.05595596
0.03600000	-0.49896372	0.05755271
0.03700000	-0.49890537	0.05914929
0.03800000	-0.49884543	0.06074569
0.03900000	-0.49878388	0.06234192
0.04000000	-0.49872074	0.06393796
0.04100000	-0.49865601	0.06553382
0.04200000	-0.49858967	0.06712948
0.04300000	-0.49852175	0.06872495
0.04400000	-0.49845222	0.07032021
0.04500000	-0.49838111	0.07191527
0.04600000	-0.49830839	0.07351012
0.04700000	-0.49823409	0.07510476
0.04800000	-0.49815818	0.07669917
0.04900000	-0.49808069	0.07829336
0.05000000	-0.49800160	0.07988732
0.05100000	-0.49792091	0.08148104
0.05200000	-0.49783864	0.08307453
0.05300000	-0.49775476	0.08466777
0.05400000	-0.49766930	0.08626077
0.05500000	-0.49758224	0.08785351
0.05600000	-0.49749359	0.08944599
0.05700000	-0.49740335	0.09103822
0.05800000	-0.49731152	0.09263017
0.05900000	-0.49721809	0.09422185
0.06000000	-0.49712307	0.09581326
0.06100000	-0.49702646	0.09740439
0.06200000	-0.49692826	0.09899523
0.06300000	-0.49682847	0.10058578
0.06400000	-0.49672709	0.10217603
0.06500000	-0.49662412	0.10376599
0.06600000	-0.49651956	0.10535564
0.06700000	-0.49641341	0.10694498
0.06800000	-0.49630567	0.10853401
0.06900000	-0.49619634	0.11012272
0.07000000	-0.49608543	0.11171110
0.07100000	-0.49597292	0.11329916
0.07200000	-0.49585883	0.11488689
0.07300000	-0.49574315	0.11647428
0.07400000	-0.49562588	0.11806132
0.07500000	-0.49550703	0.11964802
0.07600000	-0.49538658	0.12123437
0.07700000	-0.49526456	0.12282037
0.07800000	-0.49514094	0.12440600
0.07900000	-0.49501575	0.12599127
0.08000000	-0.49488896	0.12757616
0.08100000	-0.49476059	0.12916069
0.08200000	-0.49463064	0.13074483
0.08300000	-0.49449910	0.13232859
0.08400000	-0.49436598	0.13391196
0.08500000	-0.49423128	0.13549494
0.08600000	-0.49409499	0.13707752
0.08700000	-0.49395712	0.13865970
0.08800000	-0.49381767	0.14024146
0.08900000	-0.49367664	0.14182282
0.09000000	-0.49353403	0.14340376
0.09100000	-0.49338983	0.14498428
0.09200000	-0.49324406	0.14656438
0.09300000	-0.49309671	0.14814404
0.09400000	-0.49294777	0.14972327
0.09500000	-0.49279726	0.15130205
0.09600000	-0.49264517	0.15288040
0.09700000	-0.49249150	0.15445829
0.09800000	-0.49233625	0.15603573
0.09900000	-0.49217943	0.15761271
0.10000000	-0.49202103	0.15918922
0.10100000	-0.49186105	0.16076527
0.10200000	-0.49169950	0.16234085
0.10300000	-0.49153637	0.16391595
0.10400000	-0.49137167	0.16549056
0.10500000	-0.49120539	0.16706469
0.10600000	-0.49103754	0.16863833
0.10700000	-0.49086811	0.17021147
0.10800000	-0.49069711	0.17178411
0.10900000	-0.49052454	0.17335624
0.11000000	-0.49035040	0.17492787
0.11100000	-0.49017469	0.17649898
0.11200000	-0.48999740	0.17806957
0.11300000	-0.48981855	0.17963963
0.11400000	-0.48963812	0.18120917
0.11500000	-0.48945613	0.18277817
0.11600000	-0.48927257	0.18434664
0.11700000	-0.48908744	0.18591456
0.11800000	-0.48890074	0.18748194
0.11900000	-0.48871247	0.18904876
0.12000000	-0.48852264	0.19061502
0.12100000	-0.48833124	0.19218073
0.12200000	-0.48813828	0.19374586
0.12300000	-0.48794375	0.19531043
0.12400000	-0.48774766	0.19687442
0.12500000	-0.48755000	0.19843783
0.12600000	-0.48735079	0.20000066
0.12700000	-0.48715000	0.20156289
0.12800000	-0.48694766	0.20312453
0.12900000	-0.48674375	0.20468558
0.13000000	-0.48653829	0.20624601
0.13100000	-0.48633126	0.20780585
0.13200000	-0.48612268	0.20936506
0.13300000	-0.48591253	0.21092366
0.13400000	-0.48570083	0.21248164
0.13500000	-0.48548757	0.21403899
0.13600000	-0.48527275	0.21559571
0.13700000	-0.48505638	0.21715179
0.13800000	-0.48483845	0.21870723
0.13900000	-0.48461896	0.22026203
0.14000000	-0.48439793	0.22181617
0.14100000	-0.48417533	0.22336967
0.14200000	-0.48395119	0.22492250
0.14300000	-0.48372549	0.22647466
0.14400000	-0.48349824	0.22802616
0.14500000	-0.48326944	0.22957698
0.14600000	-0.48303908	0.23112713
0.14700000	-0.48280718	0.23267659
0.14800000	-0.48257373	0.23422537
0.14900000	-0.48233873	0.23577345
0.15000000	-0.48210218	0.23732084
0.15100000	-0.48186409	0.23886752
0.15200000	-0.48162445	0.24041350
0.15300000	-0.48138326	0.24195877
0.15400000	-0.48114053	0.24350332
0.15500000	-0.48089626	0.24504715
0.15600000	-0.48065044	0.24659025
0.15700000	-0.48040308	0.24813263
0.15800000	-0.48015417	0.24967427
