Time(s)	Phi(rad)	Angular velocity (rad/s)
0.00000000	-0.50000000	0.00000000
0.00100000	-0.49999898	0.00204277
0.00200000	-0.49999591	0.00408554
0.00300000	-0.49999081	0.00612829
0.00400000	-0.49998366	0.00817103
0.00500000	-0.49997447	0.01021373
0.00600000	-0.49996323	0.01225641
0.00700000	-0.49994995	0.01429904
0.00800000	-0.49993463	0.01634162
0.00900000	-0.49991727	0.01838415
0.01000000	-0.49989786	0.02042661
0.01100000	-0.49987642	0.02246900
0.01200000	-0.49985293	0.02451130
0.01300000	-0.49982739	0.02655352
0.01400000	-0.49979982	0.02859565
0.01500000	-0.49977020	0.03063767
0.01600000	-0.49973854	0.03267958
0.01700000	-0.49970484	0.03472137
0.01800000	-0.49966910	0.03676304
0.01900000	-0.49963132	0.03880457
0.02000000	-0.49959149	0.04084596
0.02100000	-0.49954963	0.04288720
0.02200000	-0.49950572	0.04492829
0.02300000	-0.49945977	0.04696921
0.02400000	-0.49941178	0.04900996
0.02500000	-0.49936175	0.05105053
0.02600000	-0.49930968	0.05309091
0.02700000	-0.49925557	0.05513110
0.02800000	-0.49919942	0.05717108
0.02900000	-0.49914123	0.05921086
0.03000000	-0.49908099	0.06125042
0.03100000	-0.49901872	0.06328975
0.03200000	-0.49895442	0.06532885
0.03300000	-0.49888807	0.06736771
0.03400000	-0.49881968	0.06940632
0.03500000	-0.49874925	0.07144467
0.03600000	-0.49867679	0.07348276
0.03700000	-0.49860229	0.07552058
0.03800000	-0.49852575	0.07755813
0.03900000	-0.49844717	0.07959538
0.04000000	-0.49836656	0.08163234
0.04100000	-0.49828391	0.08366900
0.04200000	-0.49819922	0.08570535
0.04300000	-0.49811250	0.08774138
0.04400000	-0.49802374	0.08977709
0.04500000	-0.49793294	0.09181247
0.04600000	-0.49784011	0.09384750
0.04700000	-0.49774525	0.09588219
0.04800000	-0.49764835	0.09791653
0.04900000	-0.49754942	0.09995050
0.05000000	-0.49744845	0.10198410
0.05100000	-0.49734545	0.10401732
0.05200000	-0.49724041	0.10605015
0.05300000	-0.49713335	0.10808260
0.05400000	-0.49702425	0.11011464
0.05500000	-0.49691312	0.11214627
0.05600000	-0.49679996	0.11417749
0.05700000	-0.49668476	0.11620828
0.05800000	-0.49656754	0.11823865
0.05900000	-0.49644829	0.12026857
0.06000000	-0.49632700	0.12229804
0.06100000	-0.49620369	0.12432707
0.06200000	-0.49607835	0.12635563
0.06300000	-0.49595098	0.12838372
0.06400000	-0.49582158	0.13041133
0.06500000	-0.49569016	0.13243846
0.06600000	-0.49555671	0.13446509
0.06700000	-0.49542123	0.13649123
0.06800000	-0.49528372	0.13851685
0.06900000	-0.49514419	0.14054197
0.07000000	-0.49500264	0.14256655
0.07100000	-0.49485906	0.14459061
0.07200000	-0.49471346	0.14661413
0.07300000	-0.49456583	0.14863710
0.07400000	-0.49441619	0.15065952
0.07500000	-0.49426452	0.15268138
0.07600000	-0.49411082	0.15470267
0.07700000	-0.49395511	0.15672339
0.07800000	-0.49379738	0.15874351
0.07900000	-0.49363762	0.16076305
0.08000000	-0.49347585	0.16278199
0.08100000	-0.49331206	0.16480032
0.08200000	-0.49314625	0.16681804
0.08300000	-0.49297842	0.16883513
0.08400000	-0.49280858	0.17085159
0.08500000	-0.49263672	0.17286742
0.08600000	-0.49246285	0.17488260
0.08700000	-0.49228696	0.17689713
0.08800000	-0.49210905	0.17891100
0.08900000	-0.49192913	0.18092420
0.09000000	-0.49174720	0.18293672
0.09100000	-0.49156326	0.18494856
0.09200000	-0.49137731	0.18695972
0.09300000	-0.49118934	0.18897017
0.09400000	-0.49099937	0.19097991
0.09500000	-0.49080738	0.19298894
0.09600000	-0.49061339	0.19499725
0.09700000	-0.49041739	0.19700484
0.09800000	-0.49021938	0.19901168
0.09900000	-0.49001937	0.20101778
0.10000000	-0.48981735	0.20302313
0.10100000	-0.48961332	0.20502772
0.10200000	-0.48940729	0.20703154
0.10300000	-0.48919926	0.20903459
0.10400000	-0.48898922	0.21103685
0.10500000	-0.48877718	0.21303832
0.10600000	-0.48856315	0.21503900
0.10700000	-0.48834711	0.21703887
0.10800000	-0.48812907	0.21903793
0.10900000	-0.48790903	0.22103617
0.11000000	-0.48768700	0.22303358
0.11100000	-0.48746296	0.22503015
0.11200000	-0.48723694	0.22702589
0.11300000	-0.48700891	0.22902077
0.11400000	-0.48677889	0.23101479
0.11500000	-0.48654688	0.23300794
0.11600000	-0.48631288	0.23500022
0.11700000	-0.48607688	0.23699162
0.11800000	-0.48583890	0.23898214
0.11900000	-0.48559892	0.24097175
0.12000000	-0.48535695	0.24296046
0.12100000	-0.48511300	0.24494826
0.12200000	-0.48486706	0.24693514
0.12300000	-0.48461913	0.24892109
0.12400000	-0.48436922	0.25090611
0.12500000	-0.48411732	0.25289018
0.12600000	-0.48386344	0.25487331
0.12700000	-0.48360757	0.25685547
0.12800000	-0.48334973	0.25883668
0.12900000	-0.48308990	0.26081691
0.13000000	-0.48282809	0.26279616
0.13100000	-0.48256431	0.26477442
0.13200000	-0.48229854	0.26675168
0.13300000	-0.48203080	0.26872795
0.13400000	-0.48176109	0.27070320
0.13500000	-0.48148940	0.27267743
0.13600000	-0.48121573	0.27465064
0.13700000	-0.48094010	0.27662281
0.13800000	-0.48066249	0.27859395
