Time(s) 	 Phi(rad) 	 Angular velocity (rad/s)
0.00000000	-6.09940592	-4.34510067
0.00100000	-6.10375320	-4.34587849
0.00200000	-6.10810125	-4.34663811
0.00300000	-6.11245006	-4.34737951
0.00400000	-6.11679962	-4.34810268
0.00500000	-6.12114989	-4.34880760
0.00600000	-6.12550088	-4.34949425
0.00700000	-6.12985255	-4.35016262
0.00800000	-6.13420489	-4.35081268
0.00900000	-6.13855787	-4.35144444
0.01000000	-6.14291150	-4.35205786
0.01100000	-6.14726573	-4.35265294
0.01200000	-6.15162056	-4.35322966
0.01300000	-6.15597597	-4.35378802
0.01400000	-6.16033193	-4.35432799
0.01500000	-6.16468844	-4.35484956
0.01600000	-6.16904547	-4.35535273
0.01700000	-6.17340300	-4.35583748
0.01800000	-6.17776101	-4.35630379
0.01900000	-6.18211950	-4.35675167
0.02000000	-6.18647843	-4.35718109
0.02100000	-6.19083779	-4.35759205
0.02200000	-6.19519756	-4.35798454
0.02300000	-6.19955772	-4.35835854
0.02400000	-6.20391826	-4.35871406
0.02500000	-6.20827916	-4.35905108
0.02600000	-6.21264039	-4.35936960
0.02700000	-6.21700194	-4.35966960
0.02800000	-6.22136379	-4.35995108
0.02900000	-6.22572592	-4.36021403
0.03000000	-6.23008831	-4.36045846
0.03100000	-6.23445095	-4.36068434
0.03200000	-6.23881382	-4.36089168
0.03300000	-6.24317689	-4.36108047
0.03400000	-6.24754015	-4.36125070
0.03500000	-6.25190359	-4.36140238
0.03600000	-6.25626717	-4.36153550
0.03700000	-6.26063089	-4.36165005
0.03800000	-6.26499472	-4.36174604
0.03900000	-6.26935865	-4.36182346
0.04000000	-6.27372265	-4.36188230
0.04100000	-6.27808671	-4.36192258
0.04200000	-6.28245082	-4.36194428
0.04300000	-6.28681494	-4.36194740
0.04400000	-6.29117907	-4.36193195
0.04500000	-6.29554319	-4.36189793
0.04600000	-6.29990727	-4.36184534
0.04700000	-6.30427129	-4.36177417
0.04800000	-6.30863525	-4.36168443
0.04900000	-6.31299912	-4.36157612
0.05000000	-6.31736287	-4.36144925
0.05100000	-6.32172650	-4.36130381
0.05200000	-6.32608999	-4.36113982
0.05300000	-6.33045331	-4.36095727
0.05400000	-6.33481645	-4.36075616
0.05500000	-6.33917939	-4.36053651
0.05600000	-6.34354210	-4.36029831
0.05700000	-6.34790458	-4.36004158
0.05800000	-6.35226680	-4.35976632
0.05900000	-6.35662875	-4.35947253
0.06000000	-6.36099040	-4.35916023
0.06100000	-6.36535175	-4.35882941
0.06200000	-6.36971275	-4.35848009
0.06300000	-6.37407341	-4.35811227
0.06400000	-6.37843371	-4.35772597
0.06500000	-6.38279361	-4.35732119
0.06600000	-6.38715311	-4.35689794
0.06700000	-6.39151219	-4.35645623
0.06800000	-6.39587083	-4.35599607
0.06900000	-6.40022900	-4.35551747
0.07000000	-6.40458670	-4.35502045
0.07100000	-6.40894389	-4.35450501
0.07200000	-6.41330058	-4.35397116
0.07300000	-6.41765673	-4.35341893
0.07400000	-6.42201232	-4.35284831
0.07500000	-6.42636735	-4.35225933
0.07600000	-6.43072178	-4.35165199
0.07700000	-6.43507561	-4.35102632
0.07800000	-6.43942882	-4.35038232
0.07900000	-6.44378137	-4.34972001
0.08000000	-6.44813327	-4.34903941
0.08100000	-6.45248448	-4.34834053
0.08200000	-6.45683500	-4.34762338
0.08300000	-6.46118480	-4.34688799
0.08400000	-6.46553386	-4.34613437
0.08500000	-6.46988217	-4.34536254
0.08600000	-6.47422970	-4.34457251
0.08700000	-6.47857645	-4.34376431
0.08800000	-6.48292239	-4.34293794
0.08900000	-6.48726750	-4.34209344
0.09000000	-6.49161176	-4.34123082
0.09100000	-6.49595516	-4.34035010
0.09200000	-6.50029768	-4.33945129
0.09300000	-6.50463931	-4.33853443
0.09400000	-6.50898001	-4.33759953
0.09500000	-6.51331978	-4.33664661
0.09600000	-6.51765860	-4.33567570
0.09700000	-6.52199644	-4.33468681
0.09800000	-6.52633329	-4.33367997
0.09900000	-6.53066914	-4.33265520
0.10000000	-6.53500396	-4.33161253
0.10100000	-6.53933774	-4.33055198
0.10200000	-6.54367046	-4.32947356
0.10300000	-6.54800210	-4.32837732
0.10400000	-6.55233264	-4.32726327
0.10500000	-6.55666207	-4.32613144
0.10600000	-6.56099037	-4.32498185
0.10700000	-6.56531751	-4.32381453
0.10800000	-6.56964349	-4.32262950
0.10900000	-6.57396828	-4.32142680
0.11000000	-6.57829187	-4.32020645
0.11100000	-6.58261424	-4.31896847
0.11200000	-6.58693536	-4.31771290
0.11300000	-6.59125524	-4.31643976
0.11400000	-6.59557383	-4.31514909
0.11500000	-6.59989114	-4.31384091
0.11600000	-6.60420714	-4.31251524
0.11700000	-6.60852181	-4.31117213
0.11800000	-6.61283514	-4.30981160
0.11900000	-6.61714711	-4.30843369
0.12000000	-6.62145770	-4.30703841
0.12100000	-6.62576689	-4.30562581
0.12200000	-6.63007467	-4.30419591
0.12300000	-6.63438102	-4.30274875
0.12400000	-6.63868592	-4.30128436
0.12500000	-6.64298935	-4.29980278
0.12600000	-6.64729131	-4.29830403
0.12700000	-6.65159176	-4.29678815
0.12800000	-6.65589070	-4.29525517
0.12900000	-6.66018810	-4.29370513
0.13000000	-6.66448396	-4.29213806
0.13100000	-6.66877824	-4.29055400
0.13200000	-6.67307094	-4.28895298
0.13300000	-6.67736204	-4.28733504
0.13400000	-6.68165152	-4.28570022
0.13500000	-6.68593936	-4.28404854
0.13600000	-6.69022555	-4.28238005
0.13700000	-6.69451007	-4.28069478
0.13800000	-6.69879291	-4.27899278
0.13900000	-6.70307404	-4.27727407
0.14000000	-6.70735346	-4.27553870
0.14100000	-6.71163113	-4.27378670
0.14200000	-6.71590706	-4.27201812
0.14300000	-6.72018121	-4.27023299
0.14400000	-6.72445358	-4.26843135
0.14500000	-6.72872415	-4.26661324
0.14600000	-6.73299290	-4.26477870
0.14700000	-6.73725981	-4.26292778
0.14800000	-6.74152487	-4.26106050
0.14900000	-6.74578806	-4.25917692
0.15000000	-6.75004937	-4.25727708
0.15100000	-6.75430877	-4.25536100
0.15200000	-6.75856626	-4.25342875
0.15300000	-6.76282182	-4.25148036
0.15400000	-6.76707543	-4.24951586
0.15500000	-6.77132707	-4.24753531
0.15600000	-6.77557673	-4.24553875
0.15700000	-6.77982439	-4.24352622
0.15800000	-6.78407004	-4.24149777
0.15900000	-6.78831366	-4.23945343
0.16000000	-6.79255523	-4.23739326
0.16100000	-6.79679474	-4.23531729
0.16200000	-6.80103218	-4.23322557
0.16300000	-6.80526752	-4.23111816
0.16400000	-6.80950076	-4.22899508
0.16500000	-6.81373187	-4.22685639
0.16600000	-6.81796084	-4.22470214
0.16700000	-6.82218765	-4.22253237
0.16800000	-6.82641230	-4.22034712
0.16900000	-6.83063475	-4.21814644
0.17000000	-6.83485501	-4.21593039
0.17100000	-6.83907305	-4.21369900
0.17200000	-6.84328886	-4.21145233
0.17300000	-6.84750242	-4.20919043
0.17400000	-6.85171371	-4.20691333
0.17500000	-6.85592273	-4.20462109
0.17600000	-6.86012945	-4.20231376
0.17700000	-6.86433387	-4.19999139
0.17800000	-6.86853596	-4.19765402
0.17900000	-6.87273571	-4.19530171
0.18000000	-6.87693311	-4.19293451
0.18100000	-6.88112815	-4.19055246
0.18200000	-6.88532079	-4.18815561
0.18300000	-6.88951104	-4.18574402
0.18400000	-6.89369888	-4.18331773
0.18500000	-6.89788429	-4.18087680
0.18600000	-6.90206726	-4.17842128
0.18700000	-6.90624777	-4.17595122
0.18800000	-6.91042581	-4.17346667
0.18900000	-6.91460136	-4.17096767
0.19000000	-6.91877442	-4.16845430
0.19100000	-6.92294496	-4.16592659
0.19200000	-6.92711297	-4.16338460
0.19300000	-6.93127844	-4.16082838
0.19400000	-6.93544134	-4.15825798
0.19500000	-6.93960168	-4.15567346
0.19600000	-6.94375943	-4.15307487
0.19700000	-6.94791459	-4.15046226
0.19800000	-6.95206712	-4.14783570
0.19900000	-6.95621704	-4.14519522
0.20000000	-6.96036430	-4.14254089
0.20100000	-6.96450892	-4.13987275
0.20200000	-6.96865086	-4.13719088
0.20300000	-6.97279012	-4.13449531
0.20400000	-6.97692668	-4.13178610
0.20500000	-6.98106054	-4.12906331
0.20600000	-6.98519166	-4.12632700
0.20700000	-6.98932006	-4.12357721
0.20800000	-6.99344570	-4.12081401
0.20900000	-6.99756857	-4.11803746
0.21000000	-7.00168867	-4.11524759
0.21100000	-7.00580597	-4.11244448
0.21200000	-7.00992047	-4.10962818
0.21300000	-7.01403216	-4.10679874
0.21400000	-7.01814101	-4.10395623
0.21500000	-7.02224702	-4.10110069
0.21600000	-7.02635017	-4.09823219
0.21700000	-7.03045045	-4.09535079
0.21800000	-7.03454785	-4.09245653
0.21900000	-7.03864236	-4.08954948
0.22000000	-7.04273395	-4.08662969
0.22100000	-7.04682263	-4.08369723
0.22200000	-7.05090836	-4.08075215
0.22300000	-7.05499116	-4.07779450
0.22400000	-7.05907099	-4.07482436
0.22500000	-7.06314785	-4.07184177
0.22600000	-7.06722173	-4.06884679
0.22700000	-7.07129261	-4.06583948
0.22800000	-7.07536049	-4.06281991
0.22900000	-7.07942534	-4.05978812
0.23000000	-7.08348716	-4.05674418
0.23100000	-7.08754593	-4.05368815
0.23200000	-7.09160165	-4.05062009
0.23300000	-7.09565429	-4.04754005
0.23400000	-7.09970386	-4.04444810
0.23500000	-7.10375033	-4.04134429
0.23600000	-7.10779369	-4.03822869
0.23700000	-7.11183394	-4.03510135
0.23800000	-7.11587106	-4.03196234
0.23900000	-7.11990504	-4.02881171
0.24000000	-7.12393587	-4.02564953
0.24100000	-7.12796353	-4.02247585
0.24200000	-7.13198802	-4.01929073
0.24300000	-7.13600932	-4.01609424
0.24400000	-7.14002742	-4.01288644
0.24500000	-7.14404232	-4.00966738
0.24600000	-7.14805399	-4.00643713
0.24700000	-7.15206243	-4.00319575
0.24800000	-7.15606763	-3.99994330
0.24900000	-7.16006957	-3.99667984
0.25000000	-7.16406825	-3.99340543
0.25100000	-7.16806365	-3.99012013
0.25200000	-7.17205577	-3.98682400
0.25300000	-7.17604459	-3.98351711
0.25400000	-7.18003010	-3.98019951
0.25500000	-7.18401229	-3.97687127
0.25600000	-7.18799115	-3.97353245
0.25700000	-7.19196667	-3.97018311
0.25800000	-7.19593884	-3.96682331
0.25900000	-7.19990764	-3.96345311
0.26000000	-7.20387308	-3.96007258
0.26100000	-7.20783513	-3.95668178
0.26200000	-7.21179379	-3.95328076
0.26300000	-7.21574905	-3.94986959
0.26400000	-7.21970090	-3.94644834
0.26500000	-7.22364932	-3.94301706
0.26600000	-7.22759431	-3.93957582
0.26700000	-7.23153586	-3.93612467
0.26800000	-7.23547395	-3.93266369
0.26900000	-7.23940858	-3.92919292
0.27000000	-7.24333974	-3.92571245
0.27100000	-7.24726741	-3.92222231
0.27200000	-7.25119160	-3.91872259
0.27300000	-7.25511228	-3.91521334
0.27400000	-7.25902945	-3.91169462
0.27500000	-7.26294310	-3.90816650
0.27600000	-7.26685322	-3.90462904
0.27700000	-7.27075981	-3.90108230
0.27800000	-7.27466284	-3.89752633
0.27900000	-7.27856232	-3.89396122
0.28000000	-7.28245822	-3.89038701
0.28100000	-7.28635056	-3.88680377
0.28200000	-7.29023930	-3.88321157
0.28300000	-7.29412446	-3.87961046
0.28400000	-7.29800601	-3.87600051
0.28500000	-7.30188395	-3.87238177
0.28600000	-7.30575827	-3.86875432
0.28700000	-7.30962896	-3.86511822
0.28800000	-7.31349601	-3.86147352
0.28900000	-7.31735941	-3.85782029
0.29000000	-7.32121916	-3.85415859
0.29100000	-7.32507525	-3.85048848
0.29200000	-7.32892766	-3.84681004
0.29300000	-7.33277640	-3.84312331
0.29400000	-7.33662144	-3.83942836
0.29500000	-7.34046279	-3.83572526
0.29600000	-7.34430044	-3.83201406
0.29700000	-7.34813437	-3.82829483
0.29800000	-7.35196458	-3.82456763
0.29900000	-7.35579106	-3.82083253
0.30000000	-7.35961380	-3.81708958
0.30100000	-7.36343280	-3.81333884
0.30200000	-7.36724804	-3.80958039
0.30300000	-7.37105953	-3.80581428
0.30400000	-7.37486725	-3.80204057
0.30500000	-7.37867119	-3.79825933
0.30600000	-7.38247135	-3.79447062
0.30700000	-7.38626772	-3.79067450
0.30800000	-7.39006029	-3.78687102
0.30900000	-7.39384905	-3.78306027
0.31000000	-7.39763401	-3.77924229
0.31100000	-7.40141514	-3.77541714
0.31200000	-7.40519244	-3.77158490
0.31300000	-7.40896592	-3.76774561
0.31400000	-7.41273555	-3.76389935
0.31500000	-7.41650133	-3.76004618
0.31600000	-7.42026325	-3.75618615
0.31700000	-7.42402132	-3.75231933
0.31800000	-7.42777552	-3.74844577
0.31900000	-7.43152584	-3.74456555
0.32000000	-7.43527227	-3.74067872
0.32100000	-7.43901482	-3.73678534
0.32200000	-7.44275348	-3.73288548
0.32300000	-7.44648823	-3.72897919
