Time(s) 	 Phi(rad) 	 Angular velocity (rad/s)
0.00000000	0.15000000	0.00000000
0.00100000	0.14999971	-0.00058542
0.00200000	0.14999883	-0.00117084
0.00300000	0.14999737	-0.00175625
0.00400000	0.14999532	-0.00234165
0.00500000	0.14999268	-0.00292705
0.00600000	0.14998946	-0.00351244
0.00700000	0.14998566	-0.00409781
0.00800000	0.14998127	-0.00468316
0.00900000	0.14997629	-0.00526850
0.01000000	0.14997073	-0.00585382
0.01100000	0.14996458	-0.00643911
0.01200000	0.14995785	-0.00702438
0.01300000	0.14995053	-0.00760962
0.01400000	0.14994263	-0.00819484
0.01500000	0.14993415	-0.00878002
0.01600000	0.14992507	-0.00936516
0.01700000	0.14991541	-0.00995028
0.01800000	0.14990517	-0.01053535
0.01900000	0.14989434	-0.01112038
0.02000000	0.14988293	-0.01170537
0.02100000	0.14987093	-0.01229031
0.02200000	0.14985835	-0.01287521
0.02300000	0.14984518	-0.01346005
0.02400000	0.14983143	-0.01404484
0.02500000	0.14981709	-0.01462958
0.02600000	0.14980217	-0.01521427
0.02700000	0.14978666	-0.01579889
0.02800000	0.14977057	-0.01638345
0.02900000	0.14975390	-0.01696795
0.03000000	0.14973664	-0.01755238
0.03100000	0.14971879	-0.01813675
0.03200000	0.14970036	-0.01872104
0.03300000	0.14968135	-0.01930527
0.03400000	0.14966175	-0.01988941
0.03500000	0.14964157	-0.02047348
0.03600000	0.14962081	-0.02105747
0.03700000	0.14959946	-0.02164138
0.03800000	0.14957752	-0.02222521
0.03900000	0.14955501	-0.02280895
0.04000000	0.14953191	-0.02339260
0.04100000	0.14950822	-0.02397616
0.04200000	0.14948395	-0.02455963
0.04300000	0.14945910	-0.02514300
0.04400000	0.14943367	-0.02572628
0.04500000	0.14940765	-0.02630945
0.04600000	0.14938105	-0.02689253
0.04700000	0.14935387	-0.02747550
0.04800000	0.14932610	-0.02805836
0.04900000	0.14929775	-0.02864111
0.05000000	0.14926882	-0.02922376
0.05100000	0.14923930	-0.02980629
0.05200000	0.14920920	-0.03038870
0.05300000	0.14917852	-0.03097100
0.05400000	0.14914726	-0.03155317
0.05500000	0.14911542	-0.03213523
0.05600000	0.14908299	-0.03271716
0.05700000	0.14904998	-0.03329896
0.05800000	0.14901639	-0.03388064
0.05900000	0.14898222	-0.03446218
0.06000000	0.14894747	-0.03504359
0.06100000	0.14891213	-0.03562486
0.06200000	0.14887622	-0.03620600
0.06300000	0.14883972	-0.03678700
0.06400000	0.14880265	-0.03736785
0.06500000	0.14876499	-0.03794856
0.06600000	0.14872675	-0.03852912
0.06700000	0.14868793	-0.03910953
0.06800000	0.14864853	-0.03968979
0.06900000	0.14860855	-0.04026990
0.07000000	0.14856799	-0.04084985
0.07100000	0.14852685	-0.04142964
0.07200000	0.14848513	-0.04200927
0.07300000	0.14844283	-0.04258874
0.07400000	0.14839995	-0.04316805
0.07500000	0.14835650	-0.04374719
0.07600000	0.14831246	-0.04432615
0.07700000	0.14826784	-0.04490495
0.07800000	0.14822265	-0.04548357
0.07900000	0.14817688	-0.04606202
0.08000000	0.14813052	-0.04664028
0.08100000	0.14808360	-0.04721837
0.08200000	0.14803609	-0.04779627
0.08300000	0.14798800	-0.04837399
0.08400000	0.14793934	-0.04895152
0.08500000	0.14789010	-0.04952886
0.08600000	0.14784028	-0.05010601
0.08700000	0.14778989	-0.05068297
0.08800000	0.14773892	-0.05125973
0.08900000	0.14768737	-0.05183629
0.09000000	0.14763524	-0.05241265
0.09100000	0.14758254	-0.05298880
0.09200000	0.14752927	-0.05356475
0.09300000	0.14747541	-0.05414050
0.09400000	0.14742099	-0.05471603
0.09500000	0.14736598	-0.05529135
0.09600000	0.14731040	-0.05586646
0.09700000	0.14725425	-0.05644135
0.09800000	0.14719752	-0.05701602
0.09900000	0.14714022	-0.05759047
0.10000000	0.14708234	-0.05816470
0.10100000	0.14702389	-0.05873870
0.10200000	0.14696486	-0.05931248
0.10300000	0.14690526	-0.05988602
0.10400000	0.14684509	-0.06045933
0.10500000	0.14678434	-0.06103241
0.10600000	0.14672303	-0.06160526
0.10700000	0.14666113	-0.06217786
0.10800000	0.14659867	-0.06275022
0.10900000	0.14653563	-0.06332234
0.11000000	0.14647203	-0.06389421
0.11100000	0.14640785	-0.06446584
0.11200000	0.14634309	-0.06503722
0.11300000	0.14627777	-0.06560834
0.11400000	0.14621188	-0.06617921
0.11500000	0.14614541	-0.06674982
0.11600000	0.14607838	-0.06732018
0.11700000	0.14601077	-0.06789027
0.11800000	0.14594260	-0.06846010
0.11900000	0.14587385	-0.06902967
