Time(s) 	 Phi(rad) 	 Angular velocity (rad/s)
0.00000000	0.30000000	0.00000000
0.00100000	0.29999943	-0.00113708
0.00200000	0.29999773	-0.00227415
0.00300000	0.29999488	-0.00341122
0.00400000	0.29999090	-0.00454827
0.00500000	0.29998579	-0.00568530
0.00600000	0.29997953	-0.00682232
0.00700000	0.29997214	-0.00795931
0.00800000	0.29996361	-0.00909627
0.00900000	0.29995395	-0.01023320
0.01000000	0.29994315	-0.01137008
0.01100000	0.29993121	-0.01250693
0.01200000	0.29991813	-0.01364373
0.01300000	0.29990392	-0.01478049
0.01400000	0.29988857	-0.01591718
0.01500000	0.29987209	-0.01705382
0.01600000	0.29985447	-0.01819040
0.01700000	0.29983571	-0.01932691
0.01800000	0.29981581	-0.02046334
0.01900000	0.29979478	-0.02159971
0.02000000	0.29977261	-0.02273599
0.02100000	0.29974931	-0.02387219
0.02200000	0.29972487	-0.02500830
0.02300000	0.29969929	-0.02614432
0.02400000	0.29967258	-0.02728025
0.02500000	0.29964473	-0.02841607
0.02600000	0.29961575	-0.02955179
0.02700000	0.29958563	-0.03068740
0.02800000	0.29955437	-0.03182290
0.02900000	0.29952198	-0.03295828
0.03000000	0.29948846	-0.03409354
0.03100000	0.29945379	-0.03522867
0.03200000	0.29941800	-0.03636368
0.03300000	0.29938107	-0.03749855
0.03400000	0.29934300	-0.03863328
0.03500000	0.29930380	-0.03976787
0.03600000	0.29926347	-0.04090232
0.03700000	0.29922200	-0.04203661
0.03800000	0.29917939	-0.04317075
0.03900000	0.29913566	-0.04430473
0.04000000	0.29909078	-0.04543855
0.04100000	0.29904478	-0.04657220
0.04200000	0.29899764	-0.04770568
0.04300000	0.29894937	-0.04883899
0.04400000	0.29889996	-0.04997211
0.04500000	0.29884942	-0.05110505
0.04600000	0.29879775	-0.05223781
0.04700000	0.29874495	-0.05337037
0.04800000	0.29869101	-0.05450273
0.04900000	0.29863594	-0.05563490
0.05000000	0.29857974	-0.05676686
0.05100000	0.29852241	-0.05789861
0.05200000	0.29846394	-0.05903015
0.05300000	0.29840435	-0.06016147
0.05400000	0.29834362	-0.06129257
0.05500000	0.29828176	-0.06242344
0.05600000	0.29821877	-0.06355409
0.05700000	0.29815465	-0.06468450
0.05800000	0.29808941	-0.06581467
0.05900000	0.29802303	-0.06694460
0.06000000	0.29795552	-0.06807429
0.06100000	0.29788688	-0.06920372
0.06200000	0.29781711	-0.07033290
0.06300000	0.29774621	-0.07146183
0.06400000	0.29767419	-0.07259048
0.06500000	0.29760103	-0.07371888
0.06600000	0.29752675	-0.07484700
0.06700000	0.29745134	-0.07597484
0.06800000	0.29737480	-0.07710241
0.06900000	0.29729713	-0.07822969
0.07000000	0.29721834	-0.07935668
0.07100000	0.29713842	-0.08048338
0.07200000	0.29705737	-0.08160979
0.07300000	0.29697520	-0.08273590
0.07400000	0.29689190	-0.08386170
0.07500000	0.29680748	-0.08498719
0.07600000	0.29672193	-0.08611237
0.07700000	0.29663525	-0.08723723
0.07800000	0.29654745	-0.08836178
0.07900000	0.29645853	-0.08948599
0.08000000	0.29636848	-0.09060988
0.08100000	0.29627731	-0.09173344
0.08200000	0.29618501	-0.09285665
0.08300000	0.29609160	-0.09397953
0.08400000	0.29599705	-0.09510206
0.08500000	0.29590139	-0.09622424
0.08600000	0.29580461	-0.09734606
0.08700000	0.29570670	-0.09846753
0.08800000	0.29560767	-0.09958863
0.08900000	0.29550752	-0.10070937
0.09000000	0.29540625	-0.10182974
0.09100000	0.29530386	-0.10294973
0.09200000	0.29520035	-0.10406934
0.09300000	0.29509572	-0.10518857
0.09400000	0.29498998	-0.10630741
0.09500000	0.29488311	-0.10742587
0.09600000	0.29477513	-0.10854392
0.09700000	0.29466602	-0.10966158
0.09800000	0.29455580	-0.11077883
0.09900000	0.29444447	-0.11189567
0.10000000	0.29433201	-0.11301211
0.10100000	0.29421844	-0.11412812
0.10200000	0.29410376	-0.11524372
0.10300000	0.29398795	-0.11635889
0.10400000	0.29387104	-0.11747363
0.10500000	0.29375301	-0.11858795
0.10600000	0.29363386	-0.11970182
0.10700000	0.29351360	-0.12081525
0.10800000	0.29339223	-0.12192824
0.10900000	0.29326975	-0.12304078
0.11000000	0.29314615	-0.12415287
0.11100000	0.29302144	-0.12526449
0.11200000	0.29289562	-0.12637566
0.11300000	0.29276869	-0.12748636
0.11400000	0.29264065	-0.12859659
0.11500000	0.29251150	-0.12970635
0.11600000	0.29238124	-0.13081563
0.11700000	0.29224987	-0.13192443
0.11800000	0.29211739	-0.13303274
0.11900000	0.29198380	-0.13414057
0.12000000	0.29184911	-0.13524789
0.12100000	0.29171331	-0.13635472
0.12200000	0.29157640	-0.13746105
0.12300000	0.29143838	-0.13856687
0.12400000	0.29129926	-0.13967218
0.12500000	0.29115904	-0.14077697
0.12600000	0.29101771	-0.14188125
0.12700000	0.29087528	-0.14298500
0.12800000	0.29073174	-0.14408823
0.12900000	0.29058710	-0.14519092
0.13000000	0.29044136	-0.14629308
0.13100000	0.29029452	-0.14739470
0.13200000	0.29014657	-0.14849578
0.13300000	0.28999752	-0.14959631
0.13400000	0.28984738	-0.15069629
0.13500000	0.28969613	-0.15179571
0.13600000	0.28954379	-0.15289457
0.13700000	0.28939034	-0.15399287
0.13800000	0.28923580	-0.15509060
0.13900000	0.28908016	-0.15618776
0.14000000	0.28892343	-0.15728434
0.14100000	0.28876559	-0.15838034
0.14200000	0.28860667	-0.15947576
0.14300000	0.28844664	-0.16057059
0.14400000	0.28828552	-0.16166483
0.14500000	0.28812331	-0.16275847
0.14600000	0.28796001	-0.16385151
0.14700000	0.28779561	-0.16494395
0.14800000	0.28763012	-0.16603578
0.14900000	0.28746354	-0.16712699
0.15000000	0.28729587	-0.16821759
0.15100000	0.28712710	-0.16930757
0.15200000	0.28695725	-0.17039692
0.15300000	0.28678631	-0.17148565
0.15400000	0.28661428	-0.17257374
0.15500000	0.28644116	-0.17366119
0.15600000	0.28626696	-0.17474801
0.15700000	0.28609167	-0.17583417
0.15800000	0.28591529	-0.17691969
0.15900000	0.28573783	-0.17800456
0.16000000	0.28555928	-0.17908877
0.16100000	0.28537965	-0.18017232
0.16200000	0.28519894	-0.18125520
0.16300000	0.28501714	-0.18233741
0.16400000	0.28483426	-0.18341895
0.16500000	0.28465030	-0.18449982
0.16600000	0.28446526	-0.18558000
0.16700000	0.28427914	-0.18665949
0.16800000	0.28409195	-0.18773830
0.16900000	0.28390367	-0.18881642
0.17000000	0.28371431	-0.18989383
0.17100000	0.28352388	-0.19097055
0.17200000	0.28333237	-0.19204656
0.17300000	0.28313979	-0.19312185
0.17400000	0.28294613	-0.19419644
0.17500000	0.28275140	-0.19527031
0.17600000	0.28255559	-0.19634346
0.17700000	0.28235871	-0.19741588
0.17800000	0.28216076	-0.19848757
0.17900000	0.28196173	-0.19955853
0.18000000	0.28176164	-0.20062875
0.18100000	0.28156048	-0.20169823
0.18200000	0.28135824	-0.20276696
0.18300000	0.28115494	-0.20383495
0.18400000	0.28095058	-0.20490218
0.18500000	0.28074514	-0.20596865
0.18600000	0.28053864	-0.20703437
0.18700000	0.28033107	-0.20809931
0.18800000	0.28012244	-0.20916349
0.18900000	0.27991274	-0.21022689
0.19000000	0.27970199	-0.21128952
0.19100000	0.27949017	-0.21235136
0.19200000	0.27927728	-0.21341242
0.19300000	0.27906334	-0.21447269
0.19400000	0.27884834	-0.21553217
0.19500000	0.27863228	-0.21659085
0.19600000	0.27841516	-0.21764873
0.19700000	0.27819698	-0.21870580
0.19800000	0.27797775	-0.21976207
0.19900000	0.27775746	-0.22081752
0.20000000	0.27753611	-0.22187215
0.20100000	0.27731371	-0.22292596
0.20200000	0.27709026	-0.22397895
0.20300000	0.27686576	-0.22503111
0.20400000	0.27664020	-0.22608244
0.20500000	0.27641359	-0.22713293
0.20600000	0.27618593	-0.22818257
0.20700000	0.27595723	-0.22923138
0.20800000	0.27572747	-0.23027933
0.20900000	0.27549667	-0.23132644
0.21000000	0.27526482	-0.23237268
0.21100000	0.27503192	-0.23341807
0.21200000	0.27479798	-0.23446259
0.21300000	0.27456300	-0.23550624
0.21400000	0.27432697	-0.23654902
0.21500000	0.27408990	-0.23759093
0.21600000	0.27385179	-0.23863195
0.21700000	0.27361264	-0.23967209
0.21800000	0.27337245	-0.24071134
0.21900000	0.27313122	-0.24174971
0.22000000	0.27288895	-0.24278717
0.22100000	0.27264564	-0.24382374
0.22200000	0.27240130	-0.24485940
0.22300000	0.27215592	-0.24589415
0.22400000	0.27190951	-0.24692800
0.22500000	0.27166207	-0.24796092
0.22600000	0.27141359	-0.24899293
0.22700000	0.27116408	-0.25002402
0.22800000	0.27091354	-0.25105418
0.22900000	0.27066197	-0.25208341
0.23000000	0.27040938	-0.25311170
0.23100000	0.27015575	-0.25413906
0.23200000	0.26990110	-0.25516547
0.23300000	0.26964542	-0.25619093
0.23400000	0.26938872	-0.25721545
0.23500000	0.26913099	-0.25823901
0.23600000	0.26887224	-0.25926162
0.23700000	0.26861247	-0.26028326
0.23800000	0.26835167	-0.26130394
0.23900000	0.26808986	-0.26232365
0.24000000	0.26782703	-0.26334238
0.24100000	0.26756318	-0.26436014
0.24200000	0.26729831	-0.26537691
0.24300000	0.26703242	-0.26639271
0.24400000	0.26676552	-0.26740751
0.24500000	0.26649761	-0.26842132
0.24600000	0.26622868	-0.26943413
0.24700000	0.26595874	-0.27044595
0.24800000	0.26568779	-0.27145676
0.24900000	0.26541583	-0.27246656
0.25000000	0.26514286	-0.27347535
0.25100000	0.26486888	-0.27448312
0.25200000	0.26459389	-0.27548988
0.25300000	0.26431790	-0.27649561
0.25400000	0.26404090	-0.27750032
0.25500000	0.26376290	-0.27850399
0.25600000	0.26348389	-0.27950663
0.25700000	0.26320388	-0.28050824
0.25800000	0.26292288	-0.28150879
0.25900000	0.26264087	-0.28250831
0.26000000	0.26235786	-0.28350677
0.26100000	0.26207385	-0.28450418
0.26200000	0.26178885	-0.28550054
0.26300000	0.26150285	-0.28649583
0.26400000	0.26121586	-0.28749006
0.26500000	0.26092787	-0.28848321
0.26600000	0.26063890	-0.28947530
0.26700000	0.26034892	-0.29046631
0.26800000	0.26005796	-0.29145624
0.26900000	0.25976601	-0.29244509
0.27000000	0.25947307	-0.29343285
0.27100000	0.25917915	-0.29441951
0.27200000	0.25888424	-0.29540509
0.27300000	0.25858834	-0.29638956
0.27400000	0.25829146	-0.29737293
0.27500000	0.25799359	-0.29835520
0.27600000	0.25769475	-0.29933635
0.27700000	0.25739492	-0.30031639
0.27800000	0.25709411	-0.30129532
0.27900000	0.25679233	-0.30227312
0.28000000	0.25648957	-0.30324980
0.28100000	0.25618583	-0.30422535
0.28200000	0.25588112	-0.30519976
0.28300000	0.25557543	-0.30617304
0.28400000	0.25526877	-0.30714518
0.28500000	0.25496114	-0.30811618
0.28600000	0.25465254	-0.30908603
0.28700000	0.25434297	-0.31005473
0.28800000	0.25403243	-0.31102227
0.28900000	0.25372093	-0.31198866
0.29000000	0.25340846	-0.31295389
0.29100000	0.25309502	-0.31391794
0.29200000	0.25278062	-0.31488083
0.29300000	0.25246526	-0.31584255
0.29400000	0.25214894	-0.31680309
0.29500000	0.25183165	-0.31776245
0.29600000	0.25151341	-0.31872062
0.29700000	0.25119421	-0.31967761
0.29800000	0.25087406	-0.32063340
0.29900000	0.25055295	-0.32158801
0.30000000	0.25023088	-0.32254141
0.30100000	0.24990786	-0.32349361
0.30200000	0.24958390	-0.32444460
0.30300000	0.24925898	-0.32539438
0.30400000	0.24893311	-0.32634295
0.30500000	0.24860629	-0.32729031
0.30600000	0.24827853	-0.32823644
0.30700000	0.24794982	-0.32918135
0.30800000	0.24762016	-0.33012503
0.30900000	0.24728957	-0.33106748
0.31000000	0.24695803	-0.33200869
0.31100000	0.24662555	-0.33294867
0.31200000	0.24629213	-0.33388740
0.31300000	0.24595778	-0.33482489
0.31400000	0.24562248	-0.33576113
0.31500000	0.24528626	-0.33669611
0.31600000	0.24494909	-0.33762984
0.31700000	0.24461100	-0.33856230
0.31800000	0.24427197	-0.33949351
0.31900000	0.24393201	-0.34042344
0.32000000	0.24359112	-0.34135211
0.32100000	0.24324931	-0.34227950
0.32200000	0.24290656	-0.34320561
0.32300000	0.24256290	-0.34413044
0.32400000	0.24221830	-0.34505399
0.32500000	0.24187279	-0.34597624
0.32600000	0.24152635	-0.34689721
0.32700000	0.24117900	-0.34781687
0.32800000	0.24083072	-0.34873524
0.32900000	0.24048153	-0.34965231
0.33000000	0.24013142	-0.35056806
0.33100000	0.23978039	-0.35148251
0.33200000	0.23942845	-0.35239565
0.33300000	0.23907560	-0.35330746
0.33400000	0.23872184	-0.35421796
0.33500000	0.23836716	-0.35512713
0.33600000	0.23801158	-0.35603498
0.33700000	0.23765509	-0.35694149
