Time(s) 	 Phi(rad) 	 Angular velocity (rad/s)
0.00000000	0.95472477	1.17412659
0.00100000	0.95589948	1.17105054
0.00200000	0.95707112	1.16797192
0.00300000	0.95823967	1.16489075
0.00400000	0.95940515	1.16180705
0.00500000	0.96056753	1.15872081
0.00600000	0.96172683	1.15563205
0.00700000	0.96288304	1.15254079
0.00800000	0.96403616	1.14944703
0.00900000	0.96518618	1.14635079
0.01000000	0.96633311	1.14325207
0.01100000	0.96747693	1.14015088
0.01200000	0.96861765	1.13704725
0.01300000	0.96975527	1.13394117
0.01400000	0.97088978	1.13083265
0.01500000	0.97202118	1.12772172
0.01600000	0.97314946	1.12460837
0.01700000	0.97427463	1.12149263
0.01800000	0.97539669	1.11837449
0.01900000	0.97651562	1.11525398
0.02000000	0.97763143	1.11213110
0.02100000	0.97874412	1.10900585
0.02200000	0.97985368	1.10587826
0.02300000	0.98096011	1.10274834
0.02400000	0.98206341	1.09961608
0.02500000	0.98316358	1.09648151
0.02600000	0.98426061	1.09334464
0.02700000	0.98535450	1.09020546
0.02800000	0.98644525	1.08706401
0.02900000	0.98753286	1.08392027
0.03000000	0.98861732	1.08077428
0.03100000	0.98969863	1.07762602
0.03200000	0.99077680	1.07447553
0.03300000	0.99185181	1.07132279
0.03400000	0.99292367	1.06816784
0.03500000	0.99399237	1.06501067
0.03600000	0.99505792	1.06185129
0.03700000	0.99612030	1.05868973
0.03800000	0.99717952	1.05552598
0.03900000	0.99823557	1.05236005
0.04000000	0.99928846	1.04919196
0.04100000	1.00033817	1.04602172
0.04200000	1.00138472	1.04284934
0.04300000	1.00242809	1.03967482
0.04400000	1.00346829	1.03649817
0.04500000	1.00450530	1.03331942
0.04600000	1.00553914	1.03013855
0.04700000	1.00656979	1.02695560
0.04800000	1.00759726	1.02377056
0.04900000	1.00862154	1.02058345
0.05000000	1.00964264	1.01739427
0.05100000	1.01066054	1.01420303
0.05200000	1.01167525	1.01100975
0.05300000	1.01268677	1.00781444
0.05400000	1.01369508	1.00461710
0.05500000	1.01470020	1.00141774
