Time(s) 	 Phi(rad) 	 Angular velocity (rad/s)
0.00000000	0.30000000	0.00000000
0.00100000	0.29999943	-0.00114189
0.00200000	0.29999772	-0.00228378
0.00300000	0.29999486	-0.00342565
0.00400000	0.29999086	-0.00456752
0.00500000	0.29998573	-0.00570937
0.00600000	0.29997945	-0.00685119
0.00700000	0.29997202	-0.00799299
0.00800000	0.29996346	-0.00913476
0.00900000	0.29995375	-0.01027650
0.01000000	0.29994291	-0.01141820
0.01100000	0.29993092	-0.01255985
0.01200000	0.29991779	-0.01370146
0.01300000	0.29990352	-0.01484302
0.01400000	0.29988810	-0.01598452
0.01500000	0.29987155	-0.01712596
0.01600000	0.29985385	-0.01826734
0.01700000	0.29983501	-0.01940865
0.01800000	0.29981503	-0.02054988
0.01900000	0.29979391	-0.02169104
0.02000000	0.29977165	-0.02283212
0.02100000	0.29974825	-0.02397311
0.02200000	0.29972370	-0.02511401
0.02300000	0.29969802	-0.02625482
0.02400000	0.29967119	-0.02739553
0.02500000	0.29964323	-0.02853614
0.02600000	0.29961412	-0.02967664
0.02700000	0.29958388	-0.03081703
0.02800000	0.29955249	-0.03195730
0.02900000	0.29951996	-0.03309745
0.03000000	0.29948629	-0.03423748
0.03100000	0.29945149	-0.03537739
0.03200000	0.29941554	-0.03651715
0.03300000	0.29937845	-0.03765679
0.03400000	0.29934023	-0.03879628
0.03500000	0.29930086	-0.03993562
0.03600000	0.29926035	-0.04107482
0.03700000	0.29921871	-0.04221386
0.03800000	0.29917593	-0.04335275
0.03900000	0.29913200	-0.04449147
0.04000000	0.29908694	-0.04563002
0.04100000	0.29904074	-0.04676840
0.04200000	0.29899341	-0.04790661
0.04300000	0.29894493	-0.04904464
0.04400000	0.29889532	-0.05018249
0.04500000	0.29884457	-0.05132014
0.04600000	0.29879268	-0.05245761
0.04700000	0.29873965	-0.05359488
0.04800000	0.29868549	-0.05473194
0.04900000	0.29863019	-0.05586881
0.05000000	0.29857375	-0.05700546
0.05100000	0.29851618	-0.05814190
0.05200000	0.29845747	-0.05927812
0.05300000	0.29839762	-0.06041412
0.05400000	0.29833664	-0.06154989
0.05500000	0.29827452	-0.06268543
0.05600000	0.29821127	-0.06382074
0.05700000	0.29814688	-0.06495580
0.05800000	0.29808136	-0.06609063
0.05900000	0.29801470	-0.06722520
0.06000000	0.29794691	-0.06835953
0.06100000	0.29787798	-0.06949360
0.06200000	0.29780792	-0.07062740
0.06300000	0.29773672	-0.07176095
0.06400000	0.29766440	-0.07289422
0.06500000	0.29759094	-0.07402722
0.06600000	0.29751634	-0.07515994
0.06700000	0.29744062	-0.07629238
0.06800000	0.29736376	-0.07742454
0.06900000	0.29728577	-0.07855640
0.07000000	0.29720665	-0.07968797
0.07100000	0.29712639	-0.08081924
0.07200000	0.29704501	-0.08195021
0.07300000	0.29696249	-0.08308087
0.07400000	0.29687885	-0.08421122
0.07500000	0.29679407	-0.08534126
0.07600000	0.29670816	-0.08647097
0.07700000	0.29662113	-0.08760036
0.07800000	0.29653296	-0.08872942
0.07900000	0.29644367	-0.08985815
0.08000000	0.29635325	-0.09098654
0.08100000	0.29626170	-0.09211459
0.08200000	0.29616902	-0.09324229
0.08300000	0.29607521	-0.09436965
0.08400000	0.29598028	-0.09549665
0.08500000	0.29588422	-0.09662329
0.08600000	0.29578703	-0.09774957
0.08700000	0.29568872	-0.09887548
0.08800000	0.29558928	-0.10000102
0.08900000	0.29548872	-0.10112619
0.09000000	0.29538703	-0.10225098
0.09100000	0.29528422	-0.10337538
0.09200000	0.29518028	-0.10449940
0.09300000	0.29507522	-0.10562302
0.09400000	0.29496903	-0.10674625
0.09500000	0.29486173	-0.10786907
0.09600000	0.29475329	-0.10899150
0.09700000	0.29464374	-0.11011351
0.09800000	0.29453307	-0.11123511
0.09900000	0.29442127	-0.11235629
0.10000000	0.29430836	-0.11347705
0.10100000	0.29419432	-0.11459739
0.10200000	0.29407916	-0.11571729
0.10300000	0.29396288	-0.11683676
0.10400000	0.29384549	-0.11795580
0.10500000	0.29372697	-0.11907439
0.10600000	0.29360734	-0.12019253
0.10700000	0.29348659	-0.12131022
0.10800000	0.29336472	-0.12242746
0.10900000	0.29324173	-0.12354423
0.11000000	0.29311763	-0.12466054
0.11100000	0.29299241	-0.12577639
0.11200000	0.29286608	-0.12689176
0.11300000	0.29273863	-0.12800666
0.11400000	0.29261007	-0.12912107
0.11500000	0.29248039	-0.13023500
0.11600000	0.29234960	-0.13134844
0.11700000	0.29221769	-0.13246139
0.11800000	0.29208467	-0.13357384
0.11900000	0.29195054	-0.13468579
