Time(s) 	 Phi(rad) 	 Angular velocity (rad/s)
0.00000000	0.15000000	0.00000000
0.00100000	0.14999973	-0.00054296
0.00200000	0.14999891	-0.00108592
0.00300000	0.14999756	-0.00162887
0.00400000	0.14999566	-0.00217181
0.00500000	0.14999321	-0.00271475
0.00600000	0.14999023	-0.00325768
0.00700000	0.14998670	-0.00380060
0.00800000	0.14998263	-0.00434350
0.00900000	0.14997801	-0.00488639
0.01000000	0.14997285	-0.00542926
0.01100000	0.14996715	-0.00597211
0.01200000	0.14996091	-0.00651494
0.01300000	0.14995412	-0.00705775
0.01400000	0.14994679	-0.00760053
0.01500000	0.14993892	-0.00814329
0.01600000	0.14993051	-0.00868601
0.01700000	0.14992155	-0.00922870
0.01800000	0.14991205	-0.00977136
0.01900000	0.14990201	-0.01031399
0.02000000	0.14989142	-0.01085658
0.02100000	0.14988029	-0.01139913
0.02200000	0.14986862	-0.01194163
0.02300000	0.14985641	-0.01248410
0.02400000	0.14984365	-0.01302652
0.02500000	0.14983036	-0.01356889
0.02600000	0.14981652	-0.01411122
0.02700000	0.14980213	-0.01465349
0.02800000	0.14978721	-0.01519571
0.02900000	0.14977174	-0.01573788
0.03000000	0.14975573	-0.01627999
0.03100000	0.14973918	-0.01682204
0.03200000	0.14972209	-0.01736403
0.03300000	0.14970446	-0.01790596
0.03400000	0.14968628	-0.01844783
0.03500000	0.14966756	-0.01898962
0.03600000	0.14964830	-0.01953135
0.03700000	0.14962850	-0.02007301
0.03800000	0.14960815	-0.02061460
0.03900000	0.14958727	-0.02115612
0.04000000	0.14956584	-0.02169755
0.04100000	0.14954387	-0.02223891
0.04200000	0.14952136	-0.02278019
0.04300000	0.14949831	-0.02332139
0.04400000	0.14947472	-0.02386251
0.04500000	0.14945059	-0.02440353
0.04600000	0.14942591	-0.02494448
0.04700000	0.14940070	-0.02548533
0.04800000	0.14937494	-0.02602609
0.04900000	0.14934865	-0.02656675
0.05000000	0.14932181	-0.02710732
0.05100000	0.14929443	-0.02764780
0.05200000	0.14926651	-0.02818817
0.05300000	0.14923806	-0.02872844
0.05400000	0.14920906	-0.02926861
0.05500000	0.14917952	-0.02980868
0.05600000	0.14914944	-0.03034863
0.05700000	0.14911882	-0.03088848
0.05800000	0.14908766	-0.03142822
0.05900000	0.14905596	-0.03196784
0.06000000	0.14902373	-0.03250735
0.06100000	0.14899095	-0.03304675
0.06200000	0.14895763	-0.03358602
0.06300000	0.14892378	-0.03412517
0.06400000	0.14888938	-0.03466420
0.06500000	0.14885445	-0.03520311
0.06600000	0.14881898	-0.03574189
0.06700000	0.14878297	-0.03628054
0.06800000	0.14874642	-0.03681906
0.06900000	0.14870933	-0.03735745
0.07000000	0.14867170	-0.03789570
0.07100000	0.14863354	-0.03843382
0.07200000	0.14859483	-0.03897180
0.07300000	0.14855559	-0.03950964
0.07400000	0.14851581	-0.04004734
0.07500000	0.14847550	-0.04058489
0.07600000	0.14843465	-0.04112230
0.07700000	0.14839325	-0.04165956
0.07800000	0.14835133	-0.04219667
0.07900000	0.14830886	-0.04273363
0.08000000	0.14826586	-0.04327044
0.08100000	0.14822232	-0.04380709
0.08200000	0.14817824	-0.04434358
0.08300000	0.14813363	-0.04487991
0.08400000	0.14808848	-0.04541608
0.08500000	0.14804280	-0.04595209
0.08600000	0.14799658	-0.04648794
0.08700000	0.14794983	-0.04702361
0.08800000	0.14790253	-0.04755912
0.08900000	0.14785471	-0.04809446
0.09000000	0.14780634	-0.04862962
0.09100000	0.14775745	-0.04916461
0.09200000	0.14770802	-0.04969942
0.09300000	0.14765805	-0.05023406
0.09400000	0.14760755	-0.05076851
0.09500000	0.14755651	-0.05130278
0.09600000	0.14750494	-0.05183687
0.09700000	0.14745284	-0.05237077
0.09800000	0.14740020	-0.05290448
0.09900000	0.14734703	-0.05343800
0.10000000	0.14729332	-0.05397133
0.10100000	0.14723909	-0.05450447
0.10200000	0.14718432	-0.05503741
0.10300000	0.14712901	-0.05557015
0.10400000	0.14707318	-0.05610269
0.10500000	0.14701681	-0.05663503
0.10600000	0.14695991	-0.05716717
0.10700000	0.14690247	-0.05769910
0.10800000	0.14684451	-0.05823083
0.10900000	0.14678601	-0.05876234
0.11000000	0.14672698	-0.05929364
0.11100000	0.14666742	-0.05982473
0.11200000	0.14660733	-0.06035561
0.11300000	0.14654671	-0.06088627
0.11400000	0.14648556	-0.06141671
0.11500000	0.14642388	-0.06194693
0.11600000	0.14636167	-0.06247692
0.11700000	0.14629893	-0.06300670
0.11800000	0.14623565	-0.06353624
0.11900000	0.14617185	-0.06406556
0.12000000	0.14610752	-0.06459465
0.12100000	0.14604266	-0.06512350
0.12200000	0.14597728	-0.06565212
0.12300000	0.14591136	-0.06618050
0.12400000	0.14584492	-0.06670865
0.12500000	0.14577794	-0.06723656
0.12600000	0.14571044	-0.06776422
0.12700000	0.14564241	-0.06829164
0.12800000	0.14557386	-0.06881882
0.12900000	0.14550478	-0.06934575
0.13000000	0.14543517	-0.06987243
0.13100000	0.14536503	-0.07039886
0.13200000	0.14529437	-0.07092503
0.13300000	0.14522318	-0.07145095
0.13400000	0.14515147	-0.07197661
0.13500000	0.14507923	-0.07250202
0.13600000	0.14500646	-0.07302716
0.13700000	0.14493318	-0.07355204
0.13800000	0.14485936	-0.07407666
0.13900000	0.14478502	-0.07460101
0.14000000	0.14471016	-0.07512509
0.14100000	0.14463477	-0.07564890
0.14200000	0.14455886	-0.07617244
0.14300000	0.14448243	-0.07669571
0.14400000	0.14440547	-0.07721870
0.14500000	0.14432799	-0.07774141
0.14600000	0.14424999	-0.07826385
0.14700000	0.14417146	-0.07878600
0.14800000	0.14409242	-0.07930787
0.14900000	0.14401285	-0.07982945
0.15000000	0.14393276	-0.08035075
0.15100000	0.14385215	-0.08087175
0.15200000	0.14377101	-0.08139247
0.15300000	0.14368936	-0.08191290
0.15400000	0.14360719	-0.08243302
0.15500000	0.14352449	-0.08295286
0.15600000	0.14344128	-0.08347239
0.15700000	0.14335755	-0.08399163
0.15800000	0.14327330	-0.08451056
0.15900000	0.14318853	-0.08502919
0.16000000	0.14310324	-0.08554751
0.16100000	0.14301743	-0.08606553
0.16200000	0.14293111	-0.08658323
0.16300000	0.14284427	-0.08710063
0.16400000	0.14275691	-0.08761771
0.16500000	0.14266903	-0.08813447
0.16600000	0.14258064	-0.08865092
0.16700000	0.14249173	-0.08916705
0.16800000	0.14240231	-0.08968286
0.16900000	0.14231237	-0.09019835
0.17000000	0.14222191	-0.09071351
0.17100000	0.14213094	-0.09122835
0.17200000	0.14203945	-0.09174286
0.17300000	0.14194745	-0.09225703
0.17400000	0.14185494	-0.09277088
0.17500000	0.14176191	-0.09328439
0.17600000	0.14166837	-0.09379757
0.17700000	0.14157432	-0.09431041
0.17800000	0.14147975	-0.09482291
0.17900000	0.14138467	-0.09533507
0.18000000	0.14128908	-0.09584689
0.18100000	0.14119298	-0.09635836
0.18200000	0.14109636	-0.09686948
0.18300000	0.14099924	-0.09738026
0.18400000	0.14090160	-0.09789068
0.18500000	0.14080346	-0.09840076
0.18600000	0.14070480	-0.09891048
0.18700000	0.14060564	-0.09941984
0.18800000	0.14050596	-0.09992885
0.18900000	0.14040578	-0.10043750
0.19000000	0.14030509	-0.10094578
0.19100000	0.14020389	-0.10145371
0.19200000	0.14010218	-0.10196126
0.19300000	0.13999997	-0.10246845
0.19400000	0.13989724	-0.10297528
0.19500000	0.13979401	-0.10348173
0.19600000	0.13969028	-0.10398781
0.19700000	0.13958604	-0.10449351
0.19800000	0.13948129	-0.10499884
0.19900000	0.13937604	-0.10550379
0.20000000	0.13927029	-0.10600837
0.20100000	0.13916403	-0.10651256
