Time(s) 	 Phi(rad) 	 Angular velocity (rad/s)
0.00000000	0.50000000	0.00000000
0.00100000	0.49999910	-0.00180891
0.00200000	0.49999638	-0.00361781
0.00300000	0.49999186	-0.00542670
0.00400000	0.49998553	-0.00723558
0.00500000	0.49997739	-0.00904443
0.00600000	0.49996744	-0.01085325
0.00700000	0.49995568	-0.01266203
0.00800000	0.49994212	-0.01447077
0.00900000	0.49992674	-0.01627947
0.01000000	0.49990956	-0.01808811
0.01100000	0.49989056	-0.01989669
0.01200000	0.49986976	-0.02170520
0.01300000	0.49984715	-0.02351364
0.01400000	0.49982274	-0.02532201
0.01500000	0.49979651	-0.02713029
0.01600000	0.49976848	-0.02893848
0.01700000	0.49973863	-0.03074657
0.01800000	0.49970698	-0.03255457
0.01900000	0.49967352	-0.03436245
0.02000000	0.49963826	-0.03617022
0.02100000	0.49960118	-0.03797787
0.02200000	0.49956230	-0.03978540
0.02300000	0.49952161	-0.04159279
0.02400000	0.49947912	-0.04340005
0.02500000	0.49943481	-0.04520716
0.02600000	0.49938870	-0.04701413
0.02700000	0.49934078	-0.04882093
0.02800000	0.49929106	-0.05062758
0.02900000	0.49923953	-0.05243406
0.03000000	0.49918619	-0.05424036
0.03100000	0.49913105	-0.05604648
0.03200000	0.49907410	-0.05785242
0.03300000	0.49901534	-0.05965817
0.03400000	0.49895478	-0.06146372
0.03500000	0.49889242	-0.06326907
0.03600000	0.49882825	-0.06507420
0.03700000	0.49876227	-0.06687912
0.03800000	0.49869449	-0.06868382
0.03900000	0.49862490	-0.07048829
0.04000000	0.49855351	-0.07229253
0.04100000	0.49848032	-0.07409653
0.04200000	0.49840532	-0.07590028
0.04300000	0.49832852	-0.07770378
0.04400000	0.49824991	-0.07950703
0.04500000	0.49816950	-0.08131001
0.04600000	0.49808729	-0.08311272
0.04700000	0.49800328	-0.08491515
0.04800000	0.49791746	-0.08671730
0.04900000	0.49782984	-0.08851917
0.05000000	0.49774042	-0.09032074
0.05100000	0.49764920	-0.09212202
0.05200000	0.49755618	-0.09392298
0.05300000	0.49746136	-0.09572364
0.05400000	0.49736473	-0.09752398
0.05500000	0.49726631	-0.09932400
0.05600000	0.49716608	-0.10112368
0.05700000	0.49706406	-0.10292303
0.05800000	0.49696024	-0.10472204
0.05900000	0.49685462	-0.10652070
0.06000000	0.49674720	-0.10831901
0.06100000	0.49663798	-0.11011696
0.06200000	0.49652696	-0.11191455
0.06300000	0.49641415	-0.11371176
0.06400000	0.49629954	-0.11550860
0.06500000	0.49618313	-0.11730505
0.06600000	0.49606493	-0.11910111
0.06700000	0.49594493	-0.12089678
0.06800000	0.49582314	-0.12269205
0.06900000	0.49569955	-0.12448691
0.07000000	0.49557416	-0.12628135
0.07100000	0.49544698	-0.12807538
0.07200000	0.49531801	-0.12986898
0.07300000	0.49518725	-0.13166215
0.07400000	0.49505469	-0.13345489
0.07500000	0.49492034	-0.13524718
0.07600000	0.49478419	-0.13703902
0.07700000	0.49464626	-0.13883041
0.07800000	0.49450653	-0.14062133
0.07900000	0.49436502	-0.14241179
0.08000000	0.49422171	-0.14420178
0.08100000	0.49407661	-0.14599128
0.08200000	0.49392973	-0.14778031
0.08300000	0.49378105	-0.14956884
0.08400000	0.49363059	-0.15135687
0.08500000	0.49347834	-0.15314440
0.08600000	0.49332430	-0.15493142
0.08700000	0.49316848	-0.15671793
0.08800000	0.49301087	-0.15850392
0.08900000	0.49285147	-0.16028938
0.09000000	0.49269029	-0.16207431
0.09100000	0.49252732	-0.16385869
0.09200000	0.49236257	-0.16564254
0.09300000	0.49219604	-0.16742583
0.09400000	0.49202772	-0.16920857
0.09500000	0.49185762	-0.17099074
0.09600000	0.49168574	-0.17277234
0.09700000	0.49151207	-0.17455337
0.09800000	0.49133663	-0.17633382
0.09900000	0.49115941	-0.17811368
0.10000000	0.49098040	-0.17989295
0.10100000	0.49079962	-0.18167163
0.10200000	0.49061706	-0.18344969
0.10300000	0.49043272	-0.18522715
0.10400000	0.49024661	-0.18700399
0.10500000	0.49005872	-0.18878021
0.10600000	0.48986905	-0.19055580
0.10700000	0.48967760	-0.19233075
0.10800000	0.48948439	-0.19410506
0.10900000	0.48928939	-0.19587873
0.11000000	0.48909263	-0.19765175
0.11100000	0.48889409	-0.19942410
0.11200000	0.48869378	-0.20119580
0.11300000	0.48849170	-0.20296682
0.11400000	0.48828785	-0.20473717
0.11500000	0.48808223	-0.20650683
0.11600000	0.48787483	-0.20827581
0.11700000	0.48766567	-0.21004409
0.11800000	0.48745475	-0.21181167
0.11900000	0.48724205	-0.21357854
0.12000000	0.48702759	-0.21534471
0.12100000	0.48681136	-0.21711015
0.12200000	0.48659337	-0.21887487
0.12300000	0.48637361	-0.22063887
0.12400000	0.48615209	-0.22240212
0.12500000	0.48592881	-0.22416463
0.12600000	0.48570376	-0.22592640
0.12700000	0.48547696	-0.22768741
0.12800000	0.48524839	-0.22944766
0.12900000	0.48501806	-0.23120715
0.13000000	0.48478598	-0.23296586
0.13100000	0.48455213	-0.23472380
0.13200000	0.48431653	-0.23648095
0.13300000	0.48407917	-0.23823732
0.13400000	0.48384005	-0.23999288
0.13500000	0.48359918	-0.24174765
0.13600000	0.48335656	-0.24350161
0.13700000	0.48311218	-0.24525475
0.13800000	0.48286605	-0.24700708
0.13900000	0.48261817	-0.24875858
0.14000000	0.48236853	-0.25050925
0.14100000	0.48211715	-0.25225908
0.14200000	0.48186402	-0.25400807
0.14300000	0.48160913	-0.25575621
0.14400000	0.48135250	-0.25750349
0.14500000	0.48109413	-0.25924991
0.14600000	0.48083400	-0.26099547
0.14700000	0.48057214	-0.26274015
0.14800000	0.48030852	-0.26448396
0.14900000	0.48004317	-0.26622687
0.15000000	0.47977607	-0.26796890
0.15100000	0.47950723	-0.26971003
0.15200000	0.47923665	-0.27145026
0.15300000	0.47896433	-0.27318958
0.15400000	0.47869027	-0.27492798
0.15500000	0.47841448	-0.27666547
0.15600000	0.47813694	-0.27840202
0.15700000	0.47785767	-0.28013765
0.15800000	0.47757667	-0.28187233
0.15900000	0.47729393	-0.28360607
0.16000000	0.47700946	-0.28533886
0.16100000	0.47672325	-0.28707070
0.16200000	0.47643531	-0.28880157
0.16300000	0.47614565	-0.29053147
0.16400000	0.47585425	-0.29226040
0.16500000	0.47556113	-0.29398835
0.16600000	0.47526628	-0.29571531
0.16700000	0.47496970	-0.29744128
0.16800000	0.47467139	-0.29916625
0.16900000	0.47437137	-0.30089022
0.17000000	0.47406961	-0.30261318
0.17100000	0.47376614	-0.30433512
0.17200000	0.47346094	-0.30605604
0.17300000	0.47315403	-0.30777594
0.17400000	0.47284539	-0.30949480
0.17500000	0.47253504	-0.31121262
0.17600000	0.47222297	-0.31292939
0.17700000	0.47190918	-0.31464511
0.17800000	0.47159368	-0.31635978
0.17900000	0.47127646	-0.31807338
0.18000000	0.47095753	-0.31978591
0.18100000	0.47063689	-0.32149737
0.18200000	0.47031454	-0.32320775
0.18300000	0.46999048	-0.32491704
0.18400000	0.46966470	-0.32662523
0.18500000	0.46933723	-0.32833233
0.18600000	0.46900804	-0.33003832
0.18700000	0.46867715	-0.33174320
0.18800000	0.46834455	-0.33344697
0.18900000	0.46801026	-0.33514961
0.19000000	0.46767426	-0.33685113
0.19100000	0.46733655	-0.33855150
0.19200000	0.46699715	-0.34025074
0.19300000	0.46665605	-0.34194884
0.19400000	0.46631326	-0.34364578
0.19500000	0.46596876	-0.34534156
0.19600000	0.46562257	-0.34703618
0.19700000	0.46527469	-0.34872962
0.19800000	0.46492512	-0.35042190
0.19900000	0.46457385	-0.35211299
0.20000000	0.46422089	-0.35380289
0.20100000	0.46386624	-0.35549160
0.20200000	0.46350991	-0.35717911
0.20300000	0.46315188	-0.35886541
0.20400000	0.46279218	-0.36055050
0.20500000	0.46243078	-0.36223438
0.20600000	0.46206771	-0.36391703
0.20700000	0.46170295	-0.36559845
0.20800000	0.46133651	-0.36727864
0.20900000	0.46096839	-0.36895759
0.21000000	0.46059860	-0.37063529
0.21100000	0.46022712	-0.37231174
0.21200000	0.45985398	-0.37398692
0.21300000	0.45947915	-0.37566085
0.21400000	0.45910265	-0.37733350
0.21500000	0.45872448	-0.37900488
0.21600000	0.45834464	-0.38067498
0.21700000	0.45796314	-0.38234378
0.21800000	0.45757996	-0.38401130
0.21900000	0.45719511	-0.38567751
0.22000000	0.45680860	-0.38734242
0.22100000	0.45642043	-0.38900601
0.22200000	0.45603059	-0.39066829
0.22300000	0.45563909	-0.39232925
0.22400000	0.45524593	-0.39398887
0.22500000	0.45485112	-0.39564717
0.22600000	0.45445464	-0.39730412
0.22700000	0.45405651	-0.39895972
0.22800000	0.45365672	-0.40061397
0.22900000	0.45325528	-0.40226686
0.23000000	0.45285219	-0.40391839
0.23100000	0.45244745	-0.40556854
0.23200000	0.45204105	-0.40721732
0.23300000	0.45163301	-0.40886472
0.23400000	0.45122332	-0.41051073
0.23500000	0.45081199	-0.41215535
0.23600000	0.45039901	-0.41379857
0.23700000	0.44998439	-0.41544038
0.23800000	0.44956813	-0.41708078
0.23900000	0.44915023	-0.41871976
0.24000000	0.44873069	-0.42035732
0.24100000	0.44830952	-0.42199345
0.24200000	0.44788671	-0.42362814
0.24300000	0.44746226	-0.42526140
0.24400000	0.44703619	-0.42689321
0.24500000	0.44660848	-0.42852356
0.24600000	0.44617914	-0.43015246
0.24700000	0.44574817	-0.43177989
0.24800000	0.44531558	-0.43340586
0.24900000	0.44488136	-0.43503034
0.25000000	0.44444552	-0.43665335
0.25100000	0.44400806	-0.43827487
0.25200000	0.44356897	-0.43989489
0.25300000	0.44312827	-0.44151342
0.25400000	0.44268595	-0.44313044
0.25500000	0.44224201	-0.44474595
0.25600000	0.44179646	-0.44635994
0.25700000	0.44134929	-0.44797241
0.25800000	0.44090051	-0.44958336
0.25900000	0.44045012	-0.45119277
0.26000000	0.43999813	-0.45280063
0.26100000	0.43954452	-0.45440696
0.26200000	0.43908931	-0.45601173
0.26300000	0.43863250	-0.45761494
0.26400000	0.43817408	-0.45921659
0.26500000	0.43771407	-0.46081668
0.26600000	0.43725245	-0.46241518
0.26700000	0.43678924	-0.46401211
0.26800000	0.43632443	-0.46560745
0.26900000	0.43585802	-0.46720120
0.27000000	0.43539003	-0.46879335
0.27100000	0.43492044	-0.47038390
0.27200000	0.43444926	-0.47197283
0.27300000	0.43397649	-0.47356015
0.27400000	0.43350214	-0.47514585
